,hs_code,Indent,Description
1086,9403.83.00.02,3,Toddler beds &&  bassinets &&  && cradles; play yards && other enclosures for confining children
1087,9403.83.00.15,3,Other household
1088,9403.83.00.30,3,Other
1089,9403.89,2,Other
1090,9403.89.30,3,Of cane &&  osier or similar materials
1091,9403.89.30.10,4,Household
1092,9403.89.30.20,4,Other
1093,9403.89.60,3,Other
1094,9403.89.60.03,4,Cribs &&  toddler beds &&  bassinets &&  && cradles; play yards && other enclosures for confining children
1095,9403.89.60.15,4,Other household
1096,9403.89.60.20,4,Other
1097,9403.90,1,Parts
1098,9403.90.10,2,Of furniture of a kind used for motor vehicles
1099,9403.90.10.40,3,Of metal
1100,9403.90.10.50,3,Of textile material &&  cut to shape
1101,9403.90.10.85,3,Other
1102,,2,Other
1103,9403.90.25,3,Of cane &&  osier &&  bamboo or similar materials
1104,9403.90.25.40,4,Of rattan
1105,9403.90.25.80,4,Other
1106,,3,Of rubber or plastics
1107,9403.90.40,4,Of reinforced or laminated plastics
1108,9403.90.40.05,5,For toddler beds &&  cribs &&  bassinets && cradles
1109,9403.90.40.10,5,For play yards && other enclosures for confining children
1110,9403.90.40.60,5,Other
1111,9403.90.50,4,Other
1112,9403.90.50.05,5,For toddler beds &&  cribs &&  bassinets && cradles
1113,9403.90.50.10,5,For play yards && other enclosures for confining children
1114,9403.90.50.80,5,Other
1115,9403.90.60,3,Of textile material &&  except cotton
1116,9403.90.60.05,4,For toddler beds &&  cribs &&  bassinets && cradles
1117,9403.90.60.10,4,For play yards && other enclosures for confining children
1118,9403.90.60.80,4,Other
1119,9403.90.70,3,Of wood
1120,9403.90.70.05,4,For toddler beds &&  cribs &&  bassinets && cradles
1121,9403.90.70.10,4,For play yards && other enclosures for confining children
1122,9403.90.70.80,4,Other
1123,9403.90.80,3,Other
1124,9403.90.80.10,4,For toddler beds &&  cribs &&  bassinets && cradles
1125,9403.90.80.15,4,For play yards && other enclosures for children
1126,,4,Other
1127,,5,Of metal
1128,9403.90.80.20,6,Welded wire rack decking &&  whether or not galvanized &&  plated or coated
1129,9403.90.80.41,6,Other
1130,9403.90.80.51,5,Of cotton &&  cut to shape
1131,9403.90.80.61,5,Other
1132,9404,0,Mattress supports; articles of bedding && similar furnishing (for example &&  mattresses &&  quilts &&  eiderdowns &&  cushions &&  pouffes && pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics &&  whether or not covered
1133,9404.10.00.00,1,Mattress supports
1134,,1,Mattresses
1135,9404.21.00,2,Of cellular rubber or plastics &&  whether or not covered
1136,9404.21.00.10,3,For use in a crib or toddler bed
1137,9404.21.00.13,3,Of a width exceeding 91 cm &&  of a length exceeding 184 cm &&  && a depth exceeding 8 cm
1138,9404.21.00.95,3,Other
1139,9404.29,2,Of other materials
1140,9404.29.10,3,Of cotton
1141,9404.29.10.05,4,For use in a crib or toddler bed
1142,9404.29.10.13,4,Of a width exceeding 91 cm &&  of a length exceeding 184 cm &&  && a depth exceeding 8 cm
1143,9404.29.10.95,4,Other
1144,9404.29.90,3,Other
1145,,4,Uncovered innerspring units
1146,9404.29.90.05,5,For use in a crib or toddler bed
1147,9404.29.90.13,5,Of a width exceeding 91 cm &&  of a length exceeding 184 cm &&  && of a depth exceeding 8 cm
1148,9404.29.90.50,5,Other
1149,,4,Other
1150,9404.29.90.85,5,For use in a crib or toddler bed
1151,9404.29.90.87,5,Of a width exceeding 91 cm &&  of a length exceeding 184 cm &&  && a depth exceeding 8 cm
1152,9404.29.90.95,5,Other
1153,9404.30,1,Sleeping bags
1154,9404.30.40.00,2,Containing 20 percent or more by weight of feathers and/or down
1155,9404.30.80.00,2,Other
1156,9404.90,1,Other
1157,,2,Pillows &&  cushions && similar furnishings
1158,9404.90.10.00,3,Of cotton (369)
1159,9404.90.20.00,3,Other
1160,,2,Other
1161,9404.90.80,3,Of cotton &&  not containing any embroidery &&  lace &&  braid &&  edging &&  trimming &&  piping exceeding 6.35 mm or applique work
1162,9404.90.80.20,4,Quilts &&  eiderdowns &&  comforters && similar articles (362)
1163,9404.90.80.40,4,Other (369)
1164,,3,Other
1165,9404.90.85,4,Quilts &&  eiderdowns &&  comforters && similar articles
1166,9404.90.85.05,5,With outer shell of cotton (362)
1167,9404.90.85.22,5,With outer shell of man-made fibers (666)
1168,,5,With outer shell of other textile materials
1169,9404.90.85.23,6,Containing 85 percent or more by weight of silk or silk waste
1170,9404.90.85.36,6,Other (899)
1171,9404.90.95,4,Other
1172,9404.90.95.05,5,With outer shell of cotton (369)
1173,9404.90.95.22,5,With outer shell of man-made fibers (666)
1174,,5,With outer shell of other textile materials
1175,9404.90.95.23,6,Containing 85 percent or more by weight of silk or silk waste
1176,9404.90.95.36,6,Other (899)
1177,9404.90.95.70,5,Other
1178,9405,0,Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included
1179,9405.10,1,Chandeliers && other electric ceiling or wall lighting fittings &&  excluding those of a kind used for lighting public open spaces or thoroughfares
1180,,2,Of base metal
1181,9405.10.40,3,Of brass
1182,9405.10.40.10,4,Household
1183,9405.10.40.20,4,Other
1184,9405.10.60,3,Other
1185,9405.10.60.10,4,Household
1186,9405.10.60.20,4,Other
1187,9405.10.80,2,Other
1188,9405.10.80.10,3,Household
1189,9405.10.80.20,3,Other
1190,9405.20,1,Electric table &&  desk &&  bedside or floor-standing lamps
1191,,2,Of base metal
1192,9405.20.40,3,Of brass
1193,9405.20.40.10,4,Household
1194,9405.20.40.20,4,Other
1195,9405.20.60,3,Other
1196,9405.20.60.10,4,Household
1197,9405.20.60.20,4,Other
1198,9405.20.80,2,Other
1199,9405.20.80.10,3,Household
1200,9405.20.80.20,3,Other
1201,9405.30.00,1,Lighting sets of a kind used for Christmas trees
1202,9405.30.00.10,2,Miniature series wired sets
1203,9405.30.00.40,2,Other
1204,9405.40,1,Other electric lamps && lighting fittings
1205,,2,Of base metal
1206,9405.40.40.00,3,Of brass
1207,9405.40.60.00,3,Other
1208,,2,Other
1209,9405.40.82.00,3,Light-emitting diode (LED) backlights modules &&  the foregoing which are lighting sources that consist of one or more LEDs && one or more connectors && are mounted on a printed circuit or other similar substrate &&  && other passive components &&  whether or not combined with optical components or protective diodes &&  && used as backlights illumination for liquid crystal displays (LCDs)
1210,9405.40.84,3,Other
1211,9405.40.84.10,4,Other lighting sets
1212,9405.40.84.40,4,Other
1213,9405.50,1,Non-electrical lamps && lighting fittings
1214,9405.50.20.00,2,Incandescent lamps designed to be operated by propane or other gas &&  or by compressed air && kerosene or gasoline
1215,,2,Other
1216,9405.50.30.00,3,Of brass
1217,9405.50.40.00,3,Other
1218,9405.60,1,Illuminated signs &&  illuminated nameplates && the like
1219,,2,Of base metal
1220,9405.60.20.00,3,Of brass
1221,9405.60.40.00,3,Other
1222,9405.60.60.00,2,Other
1223,,1,Parts
1224,9405.91,2,Of glass
1225,,3,Globes && shades
1226,9405.91.10.00,4,Of lead crystal
1227,9405.91.30.00,4,Other
1228,9405.91.40.00,3,Chimneys
1229,9405.91.60,3,Other
1230,9405.91.60.40,4,Prisms && other glass articles of a kind used in chandeliers && wall brackets &&  && articles thereof
1231,9405.91.60.80,4,Other
1232,9405.92.00.00,2,Of plastics
1233,9405.99,2,Other
1234,9405.99.20.00,3,Of brass
1235,9405.99.40,3,Other
1236,9405.99.40.10,4,Lampposts && bases for lampposts &&  of cast iron
1237,9405.99.40.20,4,Lampposts && bases for lampposts &&  of aluminum
1238,9405.99.40.90,4,Other
1239,9406,0,Prefabricated buildings
1240,9406.10.00.00,1,Of wood
1241,9406.90.00,1,Other
1242,,2,Of metal
1243,,3,Greenhouses
1244,9406.90.00.10,4,Commercial
1245,9406.90.00.20,4,Other
1246,9406.90.00.30,3,Other
1247,,2,Other
1248,9406.90.00.50,3,Animal sheds of plastic
1249,9406.90.00.90,3,Other
1250,9503.00.00,0,Tricycles &&  scooters &&  pedal cars && similar wheeled toys; dollsÊ¼ carriages; dolls &&  other toys; reduced-scale (âscaleË®) models && similar recreational models &&  working or not; puzzles of all kinds; parts && accessories thereof
1251,,1,âChildrenÊ¼s productsË® as defined in 15 U.S.C. Â§ 2052
1252,,2,Inflatable toy balls &&  balloons && punchballs &&  of rubber
1253,,3,Labeled or determined by importer as intended for use by persons
1254,9503.00.00.11,4,Under 3 years of age
1255,9503.00.00.13,4,3 to 12 years of age
1256,,2,Other
1257,,3,Labeled or determined by importer as intended for use by persons
1258,9503.00.00.71,4,Under 3 years of age
1259,9503.00.00.73,4,3 to 12 years of age
1260,9503.00.00.90,1,Other
1261,9504,0,Video game consoles && machines &&  articles for arcade &&  table or parlor games &&  including pinball machines &&  bagatelle &&  billiards && special tables for casino games; automatic bowling alley equipment; parts && accessories thereof
1262,9504.20,1,Articles && accessories for billiards of all kinds
1263,9504.20.20.00,2,Balls
1264,9504.20.40.00,2,Chalk
1265,9504.20.60.00,2,Tables
1266,9504.20.80.00,2,Other &&  including parts && accessories
1267,9504.30.00,1,Other games &&  operated by coins &&  banknotes &&  bank cards &&  tokens or by any other means of payment &&  other than automatic bowling alley equipment; parts && accessories thereof
1268,9504.30.00.10,2,Video
1269,,2,Other
1270,,3,Games
1271,9504.30.00.20,4,Pinball machines && bell-type machines && consoles
1272,9504.30.00.40,4,Other
1273,9504.30.00.60,3,Parts && accessories
1274,9504.40.00.00,1,Playing cards
1275,9504.50.00.00,1,Video game consoles && machines &&  other than those of subheading 9504.30 &&  && parts && accessories thereof
1276,9504.90,1,Other
1277,9504.90.40.00,2,Game machines &&  other than those operated by coins &&  banknotes (paper currency) &&  discs or similar articles; parts && accessories thereof
1278,,2,Other
1279,9504.90.60.00,3,Chess &&  checkers &&  parchisi &&  backgammon &&  darts && other games played on boards of a special design &&  all the foregoing games && parts there of (including their boards); mah-jong && dominoes; any of the foregoing games in combination with each other &&  or with other games &&  packaged together as a unit in immediate containers of a type used in retail sales; poker chips && dice
1280,9504.90.90,3,Other
1281,9504.90.90.40,4,Bowling balls
1282,9504.90.90.60,4,Bowling equipment && parts && accessories thereof
1283,9504.90.90.80,4,Other
1284,9505,0,Festive &&  carnival or other entertainment articles &&  including magic tricks && practical joke articles; parts && accessories thereof
1285,9505.10,1,Articles for Christmas festivities && parts && accessories thereof
1286,,2,Christmas ornaments
1287,9505.10.10.00,3,Of glass
1288,,3,Other
1289,9505.10.15.00,4,Of wood
1290,9505.10.25.00,4,Other
1291,9505.10.30.00,2,Nativity scenes && figures thereof
1292,,2,Other
1293,9505.10.40,3,Of plastics
1294,9505.10.40.10,4,Artificial Christmas trees
1295,9505.10.40.20,4,Other
1296,9505.10.50,3,Other
1297,9505.10.50.10,4,Artificial Christmas trees
1298,9505.10.50.20,4,Other
1299,9505.90,1,Other
1300,9505.90.20.00,2,Magic tricks && practical joke articles; parts && accessories thereof
1301,9505.90.40.00,2,Confetti &&  paper spirals or streamers &&  party favors && noisemakers; parts && accessories thereof
1302,9505.90.60.00,2,Other
1303,9506,0,Articles && equipment for general physical exercise &&  gymnastics &&  athletics &&  other sports (including table-tennis) or outdoor games &&  not specified or included elsewhere in this chapter; swimming pools && wading pools; parts && accessories thereof
1304,,1,Snow-skis && other snow-ski equipment; parts && accessories thereof
1305,9506.11,2,Skis && parts && accessories thereof &&  except ski poles
1306,9506.11.20.00,3,Cross-country skis
1307,9506.11.40,3,Other skis
1308,9506.11.40.10,4,Snowboards
1309,9506.11.40.80,4,Other
1310,9506.11.60.00,3,Parts && accessories
1311,9506.12,2,Ski bindings && parts && accessories thereof
1312,9506.12.40.00,3,Cross-country
1313,9506.12.80.00,3,Other
1314,9506.19,2,Other
1315,9506.19.40.00,3,Cross-country
1316,9506.19.80,3,Other
1317,9506.19.80.40,4,Ski poles && parts && accessories thereof
1318,9506.19.80.80,4,Other
1319,,1,Water skis &&  surf boards &&  sailboards && other water- sport equipment; parts && accessories thereof
1320,9506.21,2,Sailboards && parts && accessories thereof
1321,9506.21.40.00,3,Sailboards
1322,9506.21.80.00,3,Parts && accessories
1323,9506.29.00,2,Other
1324,9506.29.00.20,3,Water skis
1325,9506.29.00.30,3,Surf boards
1326,9506.29.00.80,3,Other
1327,,1,Golf clubs && other golf equipment; parts && accessories thereof
1328,9506.31.00.00,2,Golf clubs &&  complete
1329,9506.32.00.00,2,Balls
1330,9506.39.00,2,Other
1331,9506.39.00.60,3,Parts of golf clubs
1332,9506.39.00.80,3,Other
1333,9506.40.00.00,1,Articles && equipment for table-tennis &&  && parts && accessories thereof
1334,,1,Tennis &&  badminton or similar rackets &&  whether or not strung; parts && accessories thereof
1335,9506.51,2,Lawn-tennis rackets &&  whether or not strung &&  && parts && accessories thereof
1336,9506.51.20.00,3,Rackets &&  strung
1337,9506.51.40.00,3,Rackets &&  not strung
1338,9506.51.60.00,3,Parts && accessories
1339,9506.59,2,Other
1340,9506.59.40,3,Badminton rackets && parts && accessories thereof
1341,9506.59.40.40,4,Rackets && racket frames
1342,9506.59.40.80,4,Other parts && accessories
1343,9506.59.80,3,Other
1344,9506.59.80.20,4,Racquetball rackets
1345,9506.59.80.40,4,Squash rackets
1346,9506.59.80.60,4,Other &&  including parts && accessories
1347,,1,Balls &&  other than golf balls && table-tennis balls
1348,9506.61.00.00,2,Lawn-tennis balls
1349,9506.62,2,Inflatable balls
1350,9506.62.40,3,Footballs && soccer balls
1351,9506.62.40.40,4,Footballs
1352,9506.62.40.80,4,Soccer balls
1353,9506.62.80,3,Other
1354,9506.62.80.20,4,Basketballs
1355,9506.62.80.40,4,Volleyballs
1356,9506.62.80.60,4,Other
1357,9506.69,2,Other
1358,9506.69.20,3,Baseballs && softballs
1359,9506.69.20.40,4,Baseballs
1360,9506.69.20.80,4,Softballs
1361,9506.69.40.00,3,Noninflatable hollow balls not over 19 cm in diameter
1362,9506.69.60,3,Other
1363,9506.69.60.10,4,Polo balls
1364,9506.69.60.20,4,Other
1365,9506.70,1,Ice skates && roller skates &&  including skating boots with skates attached; parts && accessories thereof
1366,9506.70.20,2,Roller skates && parts && accessories thereof
1367,9506.70.20.10,3,Attached to boots
1368,9506.70.20.90,3,Other
1369,9506.70.40.00,2,Ice skates with footwear permanently attached
1370,9506.70.60,2,Other &&  including parts && accessories for ice skates with footwear permanently attached
1371,9506.70.60.40,3,Ice skates
1372,9506.70.60.80,3,Parts && accessories
1373,,1,Other
1374,9506.91.00,2,Articles && equipment for general physical exercise &&  gymnastics or athletics; parts && accessories thereof
1375,9506.91.00.10,3,Exercise cycles
1376,9506.91.00.20,3,Exercise rowing machines
1377,9506.91.00.30,3,Other
1378,9506.99,2,Other
1379,9506.99.05,3,Archery articles && equipment && parts && accessories thereof
1380,9506.99.05.10,4,Bows && bow parts
1381,9506.99.05.20,4,Arrows && arrow parts
1382,9506.99.05.30,4,Other
1383,,3,Badminton articles && equipment &&  except rackets &&  && parts && accessories thereof
1384,9506.99.08.00,4,Nets of cotton
1385,9506.99.12.00,4,Other
1386,9506.99.15.00,3,Baseball articles && equipment &&  except balls &&  && parts && accessories thereof
1387,9506.99.20.00,3,Football &&  soccer && polo articles && equip- ment &&  except balls &&  && parts && accessories thereof
1388,9506.99.25,3,Ice-hockey && field-hockey articles && equipment &&  except balls && skates &&  && parts && accessories thereof
1389,9506.99.25.40,4,Ice-hockey sticks
1390,9506.99.25.80,4,Other &&  including parts && accessories
1391,9506.99.28.00,3,Lacrosse sticks
1392,9506.99.30.00,3,Lawn-tennis articles && equipment &&  except balls && rackets &&  && parts && accessories thereof
1393,9506.99.35.00,3,Skeet targets
1394,,3,Sleds &&  bobsleds &&  toboggans && the like && parts && accessories thereof
1395,9506.99.40.00,4,Toboggans; bobsleds && luges of a kind used in international competition
1396,9506.99.45.00,4,Other &&  including parts && accessories
1397,9506.99.50.00,3,Snowshoes && parts && accessories thereof
1398,9506.99.55.00,3,Swimming pools && wading pools && parts && accessories thereof
1399,9506.99.60,3,Other
1400,9506.99.60.40,4,Nets not elsewhere specified or included
1401,9506.99.60.80,4,Other
1402,9507,0,"Fishing rods &&  fish hooks && other line fishing tackle; fish landing nets &&  butterfly nets && similar nets; decoy ""birds"" (other than those of heading 9208 or 9705) && similar hunting or shooting equipment; parts && accessories thereof"
1403,9507.10.00,1,Fishing rods && parts && accessories thereof
1404,9507.10.00.40,2,Fishing rods
1405,9507.10.00.80,2,Parts && accessories
1406,9507.20,1,Fish hooks &&  whether or not snelled
1407,9507.20.40.00,2,Snelled hooks
1408,9507.20.80.00,2,Other
1409,9507.30,1,Fishing reels && parts && accessories thereof
1410,,2,Fishing reels
1411,9507.30.20.00,3,Valued not over $2.70 each
1412,9507.30.40.00,3,Valued over $2.70 but not over $8.45 each
1413,9507.30.60.00,3,Valued over $8.45 each
1414,9507.30.80.00,2,Parts && accessories
1415,9507.90,1,Other
1416,9507.90.20.00,2,Fishing line put up && packaged for retail sale
1417,9507.90.40.00,2,Fishing casts or leaders
1418,9507.90.60.00,2,Fish landing nets &&  butterfly nets && similar nets
1419,,2,Other &&  including parts && accessories
1420,9507.90.70.00,3,Artificial baits && flies
1421,9507.90.80.00,3,Other &&  including parts && accessories
1422,9508,0,Merry-go-rounds &&  boat-swings &&  shooting galleries && other fairground amusements; traveling circuses && traveling menageries; traveling theaters; parts && accessories thereof
1423,9508.10.00.00,1,Traveling circuses && traveling menageries; parts && accessories
1424,9508.90.00.00,1,Other
