HTS Number,Indent,Description
6208.19.20,3,Of cotton (352)
6208.19.50,3,Containing 70 percent of more by weight of silk or silk waste (752)
6208.19.90,3,Other (852)
6208,1,Nightdresses && pajamas
6208.21,2,Of cotton
6208.21.00.10,3,With two or more colors in the warp and/or the filling (351)
6208.21.00.10,3,Other
6208.21.00.20,4,Women's (351)
6208.21.00.30,4,Girls' (351)
6208.22,2,Of man-made fibers (651)
6208.29,2,Of other textile materials
6208.29.10,3,Containing 70 percent or more by weight of silk or silk waste (751)
6208.29.90,3,Other
6208.29.90.10,4,Of wool or fine animal hair (459)
6208.29.90.30,4,Other (851)
6208,1,Other
6208.91,2,Of cotton
6208.91.10,3,Bathrobes &&  dressing gowns && similar articles
6208.91.10.10,4,Women's (350)
6208.91.10.20,4,Girls' (350)
6208.91.30,3,Other
6208.91.30.10,4,Women's (352)
6208.91.30.20,4,Girls' (352)
6208.92,2,Of man-made fibers
6208.92,3,Bathrobes &&  dressing gowns && similar articles
6208.92.00.10,4,Women's (650)
6208.92.00.20,4,Girls' (650)
6208.92,3,Other
6208.92.00.30,4,Women's (652)
6208.92.00.40,4,Girls' (652)
6208.99,2,Of other textile materials
6208.99.20,3,Of wool or fine animal hair
6208.99.20.10,4,Bathrobes &&  dressing gowns && similar articles (459)
6208.99.20.20,4,Other (459)
6208.99.20,3,Of silk or silk waste
6208.99.30,4,Containing 70 percent or more by weight of silk or silk waste
6208.99.30.10,5,Bathrobes &&  dressing gowns && similar articles (750)
6208.99.30.20,5,Other (752)
6208.99.50,4,Other
6208.99.50.10,5,Bathrobes &&  dressing gowns && similar articles (850)
6208.99.50.20,5,Other (852)
6208.99.80,3,Other
6208.99.80.10,4,Bathrobes &&  dressing gowns && similar articles (850)
6208.99.80.20,4,Other (852)
6209,0,Babies' garments && clothing accessories
6209.20,1,Of cotton
6209.20.10,2,Dresses (239)
6209.20.20,2,Blouses && shirts &&  except those imported as parts of sets (239)
6209.20.20,2,Other
6209.20.30,3,Trousers &&  breeches && shorts &&  except those imported as parts of sets (239)
6209.20.50,3,Other
6209.20.50.30,4,Sunsuits &&  washsuits && similar apparel (239)
6209.20.50.35,4,Sets (239)
6209.20.50.35,4,Other
6209.20.50.45,5,Imported as parts of sets (239)
6209.20.50.50,5,Other (239)
6209.30,1,Of synthetic fibers
6209.30.10,2,Blouses && shirts &&  except those imported as parts of sets (239)
6209.30.20,2,Trousers &&  breeches && shorts &&  except those imported as parts of sets (239)
6209.30.30,2,Other
6209.30.30.10,3,Sunsuits &&  washsuits && similar apparel (239)
6209.30.30.20,3,Sets (239)
6209.30.30.20,3,Other
6209.30.30.30,4,Imported as parts of sets (239)
6209.30.30.40,4,Other (239)
6209.90,1,Of other textile materials
6209.90.05,2,Of wool or fine animal hair (439)
6209.90.05,2,Of artificial fibers
6209.90.10,3,Blouses && shirts &&  except those imported as parts of sets (239)
6209.90.20,3,Trousers &&  breeches && shorts &&  except those imported as parts of sets (239)
6209.90.30,3,Other
6209.90.30.10,4,Sunsuits &&  washsuits && similar apparel (239)
6209.90.30.15,4,Blanket sleepers (239)
6209.90.30.20,4,Sets (239)
6209.90.30.20,4,Other
6209.90.30.30,5,Imported as parts of sets (239)
6209.90.30.40,5,Other (239)
6209.90.50,2,Containing 70 percent or more by weight of silk or silk waste
6209.90.90,2,Other (839)
6210,0,Garments &&  made up of fabrics of heading 5602 &&  5603 &&  5903 &&  5906 or 5907
6210.10,1,Of fabrics of heading 5602 or 5603
6210.10.20,2,Of fabrics formed on a base of paper or covered or lined with paper
6210.10.20,2,Other
6210.10.50,3,Nonwoven disposable apparel designed for use in hospitals &&  clinics &&  laboratories or contaminated   areas
6210.10.50,3,Other
6210.10.70,4,Disposable briefs && panties designed for one-time use
6210.10.90,4,Other
6210.10.90.10,5,Overalls && coveralls (659)
6210.10.90.40,5,Other (659)
6210.20,1,Other garments &&  of the type described in subheadings 6201.11 to 6201.19
6210.20,2,Of man-made fibers
6210.20.30,3,Having an outer surface impregnated &&  coated &&  covered &&  or laminated with rubber or plastics material   which completely obscures the underlying fabric
6210.20.50,3,Other (634)
6210.20,2,Other
6210.20.70,3,Having an outer surface impregnated &&  coated &&  covered &&  or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.20.90,3,Other
6210.20.90.10,4,Of linen (834)
6210.20.90.20,4,Other (334)
6210.30,1,Other garments &&  of the type described in subheadings 6202.11 to 6202.19
6210.30,2,Of man-made fibers
6210.30.30,3,Having an outer surface impregnated &&  coated &&  covered &&  or laminated with rubber or plastics material which completely obscure the underlying fabric
6210.30.50,3,Other (635)
6210.30,2,Other
6210.30.70,3,Having an outer surface impregnated &&  coated &&  covered &&  or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.30.90,3,Other
6210.30.90.10,4,Of linen (835)
6210.30.90.20,4,Other (335)
6210.40,1,Other men's or boys' garments
6210.40,2,Recreational performance outerwear
6210.40,3,Of man-made fibers
6210.40.15,4,Having an outer surface impregnated &&  coated &&  cover or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.40.25,4,Other
6210.40.25.20,5,Anoraks (including ski-jackets) &&  wind breakers && similar articles (634)
6210.40.25.20,5,Trousers &&  breeches && shorts
6210.40.25.31,6,Ski/snowboard pants (647)
6210.40.25.39,6,Other (647)
6210.40.25.40,5,Overalls && coveralls (659)
6210.40.25.50,5,Other (659)
6210.40,3,Other
6210.40.28,4,Having an outer surface impregnated &&  coated &&  covered or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.40.29,4,Other
6210.40.29,5,Having a fiber content of 70 percent or more by weight of silk or silk waste
6210.40.29.16,6,Anoraks (including ski-jackets) &&  wind-breakers && similar articles (734)
6210.40.29.17,6,Trousers &&  breeches && shorts (747)
6210.40.29.18,6,Overalls && coveralls (759)
6210.40.29.19,6,Other (759)
6210.40.29,5,Other
6210.40.29.25,6,Anoraks (including ski-jackets) &&  wind-breakers && similar articles (334)
6210.40.29.33,6,Trousers &&  breeches && shorts (347)
6210.40.29.45,6,Overalls && coveralls (359)
6210.40.29.60,6,Other (359)
6210.40,2,Other
6210.40,3,Of man-made fibers
6210.40.35,4,Having an outer surface impregnated &&  coated &&  covered or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.40.55,4,Other
6210.40.55.20,5,Anoraks (including ski-jackets) && wind breakers && similar articles (634)
6210.40.55.20,5,Trousers &&  breeches && shorts
6210.40.55.31,6,Ski/snowboard pants (647)
6210.40.55.39,6,Other (647)
6210.40.55.40,5,Overalls && coveralls (659)
6210.40.55.50,5,Other (659)
6210.40,3,Other
6210.40.75,4,Having an outer surface impregnated &&  coated &&  covered or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.40.80,4,Other
6210.40.80,5,Having a fiber content of 70 percent or more by weight of silk or silk waste
6210.40.80.16,6,Anoraks (including ski-jackets) &&  wind-breakers && similar articles (734)
6210.40.80.17,6,Trousers &&  breeches && shorts (747)
6210.40.80.18,6,Overalls && coveralls (759)
6210.40.80.19,6,Other (759)
6210.40.80,5,Other
6210.40.80.25,6,Anoraks (including ski-jackets) &&  wind-breakers && similar articles (334)
6210.40.80.33,6,Trousers &&  breeches && shorts (347)
6210.40.80.45,6,Overalls && coveralls (359)
6210.40.80.60,6,Other (359)
6210.50,1,Other women's or girls' garments
6210.50,2,Recreational performance outerwear
6210.50,3,Of man-made fibers
6210.50.03,4,Having an outer surface impregnated &&  coated &&  covered or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.50.05,4,Other
6210.50.05.20,5,Anoraks (including ski-jackets) &&  wind breakers && similar articles (635)
6210.50.05.20,5,Trousers &&  breeches && shorts
6210.50.05.31,6,Ski/snowboard pants (648)
6210.50.05.39,6,Other (648)
6210.50.05.40,5,Overalls && coveralls (659)
6210.50.05.55,5,Other (659)
6210.50,3,Other
6210.50.12,4,Having an outer surface impregnated &&  coated &&  covered or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.50.22,4,Other
6210.50.22,5,Having a fiber content of 70 percent or more by weight of silk or silk waste
6210.50.22.10,6,Anoraks (including ski-jackets) &&  wind-breakers && similar articles (735)
6210.50.22.20,6,Trousers &&  breeches && shorts (748)
6210.50.22.30,6,Overalls && coveralls (759)
6210.50.22.40,6,Other (759)
6210.50.22,5,Other
6210.50.22.50,6,Anoraks (including ski-jackets) && wind-breakers && similar articles (335)
6210.50.22.60,6,Trousers &&  breeches && shorts (348)
6210.50.22.70,6,Overalls && coveralls (359)
6210.50.22.90,6,Other (359)
6210.50,2,Other
6210.50,3,Of man-made fibers
6210.50.35,4,Having an outer surface impregnated &&  coated &&  covered or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.50.55,4,Other
6210.50.55.20,5,Anoraks (including ski-jackets) &&  wind breakers && similar articles (635)
6210.50.55.20,5,Trousers &&  breeches && shorts
6210.50.55.31,6,Ski/snowboard pants (648)
6210.50.55.39,6,Other (648)
6210.50.55.40,5,Overalls && coveralls (659)
6210.50.55.55,5,Other (659)
6210.50,3,Other
6210.50.75,4,Having an outer surface impregnated &&  coated &&  covered or laminated with rubber or plastics material which completely obscures the underlying fabric
6210.50.80,4,Other
6210.50.80,5,Having a fiber content of 70 percent or more by weight of silk or silk waste
6210.50.80.10,6,Anoraks (including ski-jackets) &&  wind-breakers && similar articles (735)
6210.50.80.20,6,Trousers &&  breeches && shorts (748)
6210.50.80.30,6,Overalls && coveralls (759)
6210.50.80.40,6,Other (759)
6210.50.80,5,Other
6210.50.80.50,6,Anoraks (including ski-jackets) &&  wind-breakers && similar articles (335)
6210.50.80.60,6,Trousers &&  breeches && shorts (348)
6210.50.80.70,6,Overalls && coveralls (359)
6210.50.80.90,6,Other (359)
6211,0,Track suits &&  ski-suits && swimwear; other garments
6211,1,Swimwear
6211.11,2,Men's or boys'
6211.11.10,3,Of man-made fibers
6211.11.10.10,4,Men's (659)
6211.11.10.20,4,Boys' (659)
6211.11.40,3,Containing 70 percent or more by weight of silk or silk waste (759)
6211.11.80,3,Other
6211.11.80,4,Of cotton
6211.11.80.10,5,Men's (359)
6211.11.80.20,5,Boys' (359)
6211.11.80.40,4,Other (859)
6211.12,2,Women's or girls'
6211.12.10,3,Of man-made fibers
6211.12.10.10,4,Women's (659)
6211.12.10.20,4,Girls' (659)
6211.12.40,3,Containing 70 percent or more by weight of silk or silk waste (759)
6211.12.80,3,Other
6211.12.80,4,Of cotton
6211.12.80.10,5,Women's (359)
6211.12.80.20,5,Girls' (359)
6211.12.80.30,4,Other (859)
6211.20,1,Ski-suits
6211.20,2,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down
6211.20.04,3,Anoraks (including ski-jackets) &&  windbreakers && similar articles (including padded &&  sleeveless   jackets) imported as parts of suits
6211.20.04,4,Men's or boys'
6211.20.04.10,5,Of cotton (353)
6211.20.04.20,5,Other (653)
6211.20.04,4,Women's or girls'
6211.20.04.30,5,Of cotton (354)
6211.20.04.40,5,Other (654)
6211.20.08,3,Other
6211.20.08.10,4,Men's or boys'
6211.20.08.20,4,Women's or girls'
6211.20,2,Other
6211.20.15,3,Water resistant
6211.20.15,4,Men's or boys'
6211.20.15,5,Anoraks (including ski-jackets) &&  wind- breakers && similar articles (including padded &&  sleeveless jackets) imported as parts of ski-suits
6211.20.15.10,6,Of cotton (334)
6211.20.15.15,6,Other (634)
6211.20.15,5,Trousers && breeches imported as parts of ski-suits
6211.20.15.20,6,Of cotton (347)
6211.20.15.25,6,Other (647)
6211.20.15,5,Other
6211.20.15.30,6,Of cotton (359)
6211.20.15.35,6,Other (659)
6211.20.15,4,Women's or girls'
6211.20.15,5,Anoraks (including ski-jackets) &&  wind- breakers && similar articles (including padded &&  sleeveless jackets) imported as parts of ski-suits
6211.20.15.40,6,Of cotton (335)
6211.20.15.45,6,Other (635)
6211.20.15,5,Trousers && breeches imported as parts of ski-suits
6211.20.15.50,6,Of cotton (348)
6211.20.15.55,6,Other (648)
6211.20.15,5,Other
6211.20.15.60,6,Of cotton (359)
6211.20.15.65,6,Other (659)
6211.20.15,3,Other
6211.20.15,4,Men's or boys'
6211.20.15,5,Anoraks (including ski-jackets) &&  wind- breakers && similar articles (including padded &&  sleeveless jackets) imported as parts of ski-suits
6211.20.24,6,Of wool or fine animal hair (434)
6211.20.28,6,Other
6211.20.28.10,7,Of cotton (334)
6211.20.28.20,7,Of man-made fibers (634)
6211.20.28.30,7,Other (834)
6211.20.15,5,Trousers && breeches imported as parts of ski-suits
6211.20.34,6,Of wool or fine animal hair (447)
6211.20.38,6,Other
6211.20.38.10,7,Of cotton (347)
6211.20.38.20,7,Of man-made fibers (647)
6211.20.38.30,7,Other (847)
6211.20.15,5,Other
6211.20.44,6,Of wool or fine animal hair (459)
6211.20.48,6,Other
6211.20.48.15,7,Of cotton (359)
6211.20.48.35,7,Of man-made fibers (659)
6211.20.48.60,7,Other (859)
6211.20.15,4,Women's or girls'
6211.20.15,5,Anoraks (including ski-jackets) &&  wind breakers && similar articles (including padded &&  sleeveless   jackets) imported as parts of ski-suits
6211.20.54,6,Of wool or fine animal hair (435)
6211.20.58,6,Other
6211.20.58.10,7,Of cotton (335)
6211.20.58.20,7,Of man-made fibers (635)
6211.20.58.30,7,Other (835)
6211.20.15,5,Trousers && breeches imported as parts of ski-suits
6211.20.64,6,Of wool or fine animal hair (448)
6211.20.68,6,Other
6211.20.68.10,7,Of cotton (348)
6211.20.68.20,7,Of man-made fibers (648)
6211.20.68.30,7,Other (847)
6211.20.15,5,Other
6211.20.74,6,Of wool or fine animal hair (459)
6211.20.78,6,Other
6211.20.78.10,7,Of cotton (359)
6211.20.78.20,7,Of man-made fibers (659)
6211.20.78.30,7,Other (859)
6211.20,1,Other garments &&  men's or boys'
6211.32,2,Of cotton
6211.32.50,3,Recreational performance outerwear
6211.32.50,4,Coveralls &&  jumpsuits && similar apparel
6211.32.50.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down
6211.32.50.07,5,Other &&  insulated for cold weather protection (359)
6211.32.50.07,5,Other
6211.32.50.10,6,Men's (359)
6211.32.50.10,6,Boys'
6211.32.50.15,7,Sizes 2-7 (237)
6211.32.50.25,7,Other (359)
6211.32.50.30,4,Washsuits &&  sunsuits &&  one-piece piece playsuits && similar apparel for boys (237)
6211.32.50.30,4,Track suits
6211.32.50.40,5,Trousers (347)
6211.32.50.50,5,Other (334)
6211.32.50.60,4,Shirts excluded from heading 6205 (340)
6211.32.50.70,4,Vests (359)
6211.32.50.75,4,Jackets && jacket-type garments excluded from heading 6201 (334)
6211.32.50.81,4,Other (359)
6211.32.90,3,Other
6211.32.90,4,Coveralls &&  jumpsuits && similar apparel
6211.32.90.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down
6211.32.90.07,5,Other &&  insulated for cold weather protection (359)
6211.32.90.07,5,Other
6211.32.90.10,6,Men's (359)
6211.32.90.10,6,Boys'
6211.32.90.15,7,Sizes 2-7 (237)
6211.32.90.25,7,Other (359)
6211.32.90.30,4,Washsuits &&  sunsuits &&  one-piece piece playsuits && similar apparel for boys (237)
6211.32.90.30,4,Track suits
6211.32.90.40,5,Trousers (347)
6211.32.90.50,5,Other (334)
6211.32.90.60,4,Shirts excluded from heading 6205 (340)
6211.32.90.70,4,Vests (359)
6211.32.90.75,4,Jackets && jacket-type garments excluded from heading 6201 (334)
6211.32.90.81,4,Other (359
6211.33,2,Of man-made fibers
6211.33.50,3,Recreational performance outerwear
6211.33.50,4,Coveralls &&  jumpsuits && similar apparel
6211.33.50.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down
6211.33.50.07,5,Other &&  insulated for cold weather protection (659)
6211.33.50.07,5,Other
6211.33.50.10,6,Men's (659)
6211.33.50.10,6,Boys'
6211.33.50.15,7,Sizes 2-7 (237)
6211.33.50.17,7,Other (659)
6211.33.50.25,4,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel for boys (237)
6211.33.50.25,4,Track suits
6211.33.50.30,5,Trousers (647)
6211.33.50.35,5,Other (634)
6211.33.50.40,4,Shirts excluded from heading 6205 (640)
6211.33.50.40,4,Vests
6211.33.50.52,5,Containing 36 percent or more by weight of wool or fine animal hair (459)
6211.33.50.54,5,Other (659)
6211.33.50.58,4,Jackets && jacket-type garments excluded from heading 6201 (634)
6211.33.50.61,4,Other (659)
6211.33.90,3,Other
6211.33.90,4,Coveralls &&  jumpsuits && similar apparel
6211.33.90.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more by weight; containing 10 percent or more by weight of down
6211.33.90.07,5,Other &&  insulated for cold weather protection (659)
6211.33.90.07,5,Other
6211.33.90.10,6,Men's (659)
6211.33.90.10,6,Boys'
6211.33.90.15,7,Sizes 2-7 (237)
6211.33.90.17,7,Other (659)
6211.33.90.25,4,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel for boys (237)
6211.33.90.25,4,Track suits
6211.33.90.30,5,Trousers (647)
6211.33.90.35,5,Other (634)
6211.33.90.40,4,Shirts excluded from heading 6205 (640)
6211.33.90.40,4,Vests
6211.33.90.52,5,Containing 36 percent or more by weight of wool or fine animal hair (459)
6211.33.90.54,5,Other (659)
6211.33.90.58,4,Jackets && jacket-type garments excluded from heading 6201 (634)
6211.33.90.61,4,Other (659)
6211.39,2,Of other textile materials
6211.39,3,Recreational performance outwear
6211.39.03,4,Of wool or fine animal hair
6211.39.03,5,Tracksuits
6211.39.03.10,6,Trousers (447)
6211.39.03.20,6,Other (434)
6211.39.03.30,5,Shirts excluded from heading 6205 (440)
6211.39.03.40,5,Vests (459)
6211.39.03.45,5,Jackets && jacket-type garments excluded from heading 6201 (434)
6211.39.03.51,5,Other (459)
6211.39.07,4,Containing 70 percent or more by weight of silk or silk waste
6211.39.07.10,5,Coveralls &&  jumpsuits && similar apparel (759)
6211.39.07.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (759)
6211.39.07.20,5,Track suits
6211.39.07.30,6,Trousers (747)
6211.39.07.40,6,Other (734)
6211.39.07.50,5,Shirts excluded from heading 6205 (740)
6211.39.07.60,5,Vests (759)
6211.39.07.70,5,Jackets && jacket-type garments excluded from heading 6201 (734)
6211.39.07.90,5,Other (759)
6211.39.15,4,Other
6211.39.15.10,5,Coveralls &&  jumpsuits && similar apparel (859)
6211.39.15.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (859)
6211.39.15.20,5,Track suits
6211.39.15.30,6,Trousers (847)
6211.39.15.40,6,Other (834)
6211.39.15.50,5,Shirts excluded from heading 6205 (840)
6211.39.15.60,5,Vests (859)
6211.39.15.70,5,Jackets && jacket-type garments excluded from heading 6201 (834)
6211.39.15.90,5,Other (859)
6211.39,3,Other
6211.39.30,4,Of wool or fine animal hair
6211.39.30,5,Track suits
6211.39.30.10,6,Trousers (447)
6211.39.30.20,6,Other (434)
6211.39.30.30,5,Shirts excluded from heading 6205 (440)
6211.39.30.40,5,Vests (459)
6211.39.30.45,5,Jackets && jacket-type garments excluded from heading 6201 (434)
6211.39.30.51,5,Other (459)
6211.39.60,4,Containing 70 percent or more by weight of silk or silk waste
6211.39.60.10,5,Coveralls &&  jumpsuits && similar apparel (759)
6211.39.60.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (759)
6211.39.60.20,5,Track suits
6211.39.60.30,6,Trousers (747)
6211.39.60.40,6,Other (734)
6211.39.60.50,5,Shirts excluded from heading 6205 (740)
6211.39.60.60,5,Vests (759)
6211.39.60.70,5,Jackets && jacket-type garments excluded from heading 6201 (734)
6211.39.60.90,5,Other (759)
6211.39.80,4,Other
6211.39.80.10,5,Coveralls &&  jumpsuits && similar apparel (859)
6211.39.80.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (859)
6211.39.80.20,5,Track suits
6211.39.80.30,6,Trousers (847)
6211.39.80.40,6,Other (834)
6211.39.80.50,5,Shirts excluded from heading 6205 (840)
6211.39.80.60,5,Vests (859)
6211.39.80.70,5,Jackets && jacket-type garments excluded from heading 6201 (834)
6211.39.80.90,5,Other (859)
6211.20,1,Other garments &&  women's or girls'
6211.42,2,Of cotton
6211.42.05,3,Recreational performance outerwear
6211.42.05,4,Coveralls &&  jumpsuits && similar apparel
6211.42.05.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more weight; containing 10 percent or more by weight of down
6211.42.05.07,5,Other &&  insulated for cold weather protection (359)
6211.42.05.07,5,Other
6211.42.05.10,6,Women's (359)
6211.42.05.20,6,Girls' (237)
6211.42.05.25,4,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (237)
6211.42.05.25,4,Track suits
6211.42.05.30,5,Trousers (348)
6211.42.05.40,5,Other (335)
6211.42.05.25,4,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206
6211.42.05.54,5,With two or more colors in the warp and/or filling (341)
6211.42.05.56,5,Other (341)
6211.42.05.60,4,Jumpers (359)
6211.42.05.70,4,Vests (359)
6211.42.05.75,4,Jackets && jacket-type garments excluded from heading 6202 (335)
6211.42.05.81,4,Other (359)
6211.42.10,3,Other
6211.42.10,4,Coveralls &&  jumpsuits && similar apparel
6211.42.10.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more weight; containing 10 percent or more by weight of down
6211.42.10.07,5,Other &&  insulated for cold weather protection (359)
6211.42.10.07,5,Other
6211.42.10.10,6,Women's (359)
6211.42.10.20,6,Girls' (237)
6211.42.10.25,4,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (237)
6211.42.10.25,4,Track suits
6211.42.10.30,5,Trousers (348)
6211.42.10.40,5,Other (335)
6211.42.10.25,4,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206
6211.42.10.54,5,With two or more colors in the warp and/or filling (341)
6211.42.10.56,5,Other (341)
6211.42.10.60,4,Jumpers (359)
6211.42.10.70,4,Vests (359)
6211.42.10.75,4,Jackets && jacket-type garments excluded from heading 6202 (335)
6211.42.10.81,4,Other (359)
6211.43,2,Of man-made fibers
6211.43.05,3,Recreational performance outerwear
6211.43.05,4,Coveralls &&  jumpsuits && similar apparel
6211.43.05.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more weight; containing 10 percent or more by weight of down
6211.43.05.07,5,Other &&  insulated for cold weather protection (659)
6211.43.05.07,5,Other
6211.43.05.10,6,Women's (659)
6211.43.05.20,6,Girls' (237)
6211.43.05.30,4,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel
6211.43.05.30,4,Track suits
6211.43.05.40,5,Trousers (648)
6211.43.05.50,5,Other (659)
6211.43.05.60,4,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206 (641)
6211.43.05.60,4,Jumpers
6211.43.05.64,5,Containing 36 percent or more by weight of wool or fine animal hair (459)
6211.43.05.66,5,Other (659)
6211.43.05.60,4,Vests
6211.43.05.74,5,Containing 36 percent or more by weight of wool or fine animal hair (459)
6211.43.05.76,5,Other (659)
6211.43.05.78,4,Jackets && jacket-type garments excluded from heading 6202 (635)
6211.43.05.91,4,Other (659)
6211.43.10,3,Other
6211.43.10,4,Coveralls &&  jumpsuits && similar apparel
6211.43.10.03,5,Containing 15 percent or more by weight of down && waterfowl plumage && of which down comprises 35 percent or more weight; containing 10 percent or more by weight of down
6211.43.10.07,5,Other &&  insulated for cold weather protection (659)
6211.43.10.07,5,Other
6211.43.10.10,6,Women's (659)
6211.43.10.20,6,Girls' (237)
6211.43.10.30,4,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (237)
6211.43.10.30,4,Track suits
6211.43.10.40,5,Trousers (648)
6211.43.10.50,5,Other (659)
6211.43.10.60,4,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206 (641)
6211.43.10.60,4,Jumpers
6211.43.10.64,5,Containing 36 percent or more by weight of wool or fine animal hair (459)
6211.43.10.66,5,Other (659)
6211.43.10.60,4,Vests
6211.43.10.74,5,Containing 36 percent or more by weight of wool or fine animal hair (459)
6211.43.10.76,5,Other (659)
6211.43.10.78,4,Jackets && jacket-type garments excluded from heading 6202 (635)
6211.43.10.91,4,Other (659)
6211.49,2,Of other textile materials
6211.49,3,Recreational performance outerwear
6211.49.03,4,Containing 70 percent or more by weight of silk or silk waste
6211.49.03.10,5,Coveralls &&  jumpsuits && similar apparel
6211.49.03.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (759)
6211.49.03.20,5,Track suits
6211.49.03.30,6,Trousers (748)
6211.49.03.40,6,Other (735)
6211.49.03.50,5,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206
6211.49.03.60,5,Jumpers (759)
6211.49.03.70,5,Vests (759)
6211.49.03.80,5,Jackets && jacket-type garments excluded from heading 6202 (735)
6211.49.03.90,5,Other (759)
6211.49.15,4,Of wool or fine animal hair
6211.49.15,5,Track suits
6211.49.15.10,6,Trousers (448)
6211.49.15.20,6,Other (435)
6211.49.15.30,5,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206 (440)
6211.49.15.40,5,Jumpers (459)
6211.49.15.50,5,Vests (459)
6211.49.15.55,5,Jackets && jacket-type garments excluded from heading 6202 (435)
6211.49.15.61,5,Other (459)
6211.49.25,4,Other
6211.49.25.10,5,Coveralls &&  jumpsuits && similar apparel (859)
6211.49.25.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (859)
6211.49.25.20,5,Track suits
6211.49.25.30,6,Trousers (847)
6211.49.25.40,6,Other (835)
6211.49.25.50,5,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206 (840)
6211.49.25.60,5,Jumpers (859)
6211.49.25.70,5,Vests (859)
6211.49.25.80,5,Jackets && jacket-type garments excluded from heading 6202 (835)
6211.49.25.90,5,Other (859)
6211.49,3,Other
6211.49.50,4,Containing 70 percent or more by weight of silk or silk waste
6211.49.50.10,5,Coveralls &&  jumpsuits && similar apparel
6211.49.50.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (759)
6211.49.50.20,5,Track suits
6211.49.50.30,6,Trousers (748)
6211.49.50.40,6,Other (735)
6211.49.50.50,5,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206
6211.49.50.60,5,Jumpers (759)
6211.49.50.70,5,Vests (759)
6211.49.50.80,5,Jackets && jacket-type garments excluded from heading 6202 (735)
6211.49.50.90,5,Other (759)
6211.49.60,4,Of wool or fine animal hair
6211.49.60,5,Track suits
6211.49.60.10,6,Trousers (448)
6211.49.60.20,6,Other (435)
6211.49.60.30,5,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206 (440)
6211.49.60.40,5,Jumpers (459)
6211.49.60.50,5,Vests (459)
6211.49.60.55,5,Jackets && jacket-type garments excluded from heading 6202 (435)
6211.49.60.61,5,Other (459)
6211.49.80,4,Other
6211.49.80.10,5,Coveralls &&  jumpsuits && similar apparel (859)
6211.49.80.20,5,Washsuits &&  sunsuits &&  one-piece playsuits && similar apparel (859)
6211.49.80.20,5,Track suits
6211.49.80.30,6,Trousers (847)
6211.49.80.40,6,Other (835)
6211.49.80.50,5,Blouses &&  shirts && shirt-blouses &&  sleeveless tank styles && similar upper body garments &&  excluded from heading 6206 (840)
